zip_code,sex,pct_bachelors
54488,male,5.7
54488,female,8.1
54489,male,10.5
54489,female,15.7
54490,male,13.1
54490,female,15.1
54491,male,11.6
54491,female,11.1
54493,male,9.2
54493,female,12.8
54494,male,19.3
54494,female,20
54495,male,11.8
54495,female,14.9
54498,male,4.6
54498,female,9.1
54499,male,14.7
54499,female,16
54501,male,23.3
54501,female,26.1
54511,male,9.3
54511,female,14
54512,male,41.6
54512,female,36
54513,male,10.9
54513,female,10.3
54514,male,15.2
54514,female,15.9
54515,male,7.2
54515,female,11.8
54517,male,23.6
54517,female,6.7
54519,male,19.3
54519,female,29.8
54520,male,11.3
54520,female,16.2
54521,male,23.7
54521,female,27
54524,male,15
54524,female,18.9
54525,male,11.8
54525,female,15.9
54526,male,10.1
54526,female,16.1
54527,male,12.4
54527,female,12.4
54529,male,25.1
54529,female,21
54530,male,7.4
54530,female,10.2
54531,male,24.3
54531,female,39.2
54534,male,16
54534,female,19.7
54536,male,16.1
54536,female,15.3
54537,male,10.3
54537,female,15.4
54538,male,29.6
54538,female,19.7
54539,male,19.4
54539,female,29.2
54540,male,34.1
54540,female,22
54541,male,13
54541,female,19.8
54542,male,6.3
54542,female,6.5
54545,male,43.5
54545,female,36
54546,male,10.8
54546,female,12
54547,male,24.3
54547,female,20.5
54548,male,34.3
54548,female,31.2
54550,male,23.6
54550,female,26.6
54552,male,18.1
54552,female,16.2
54554,male,22.2
54554,female,28.9
54555,male,18.8
54555,female,18.2
54556,male,9.8
54556,female,13
54557,male,37.5
54557,female,40.2
54558,male,21.9
54558,female,25.6
54559,male,10.5
54559,female,17.6
54560,male,18.7
54560,female,42.1
54561,male,72
54561,female,16.7
54562,male,38.2
54562,female,38.2
54563,male,13.2
54563,female,24.8
54564,male,4.1
54564,female,7.4
54565,male,24.1
54565,female,25
54566,male,8.9
54566,female,17.5
54568,male,23.4
54568,female,23.1
54601,male,37.7
54601,female,39.2
54603,male,20.8
54603,female,21.2
54610,male,20.3
54610,female,20
54611,male,17.7
54611,female,21.9
54612,male,15.6
54612,female,20.5
54613,male,8.4
54613,female,9.1
